id;absa_tran_ref;biller_id;payment_item_code;dt_d_transaction_id;amol_d_transaction_id;bank_name;bank_swift_code;bank_branch_id;bank_phone_number;bank_email;bank_free_field_1;bank_free_field_3;bank_free_field_4;bank_free_field_5;bank_free_field_6;bank_free_field_7;bank_free_field_8;bank_free_field_9;bank_free_field_10;bank_free_field_11;bank_free_field_12;bank_free_field_13;bank_free_field_14;bank_free_field_15;bank_free_field_16;bank_free_field_17;bank_free_field_18;bank_free_field_19;bank_free_field_20;bank_free_field_21;bank_free_field_22;bank_free_field_23;bank_free_field_24;created_at;created_by;updated_at;updated_by;delflg;status
1;728f1f6b-41c4-4196-9a4c-11b77d6c4217;purple red Concrete;Generic e-business Unbranded;Diverse harness deposit;Malta;invoice Account;ADP;Multi-channelled hard;Florida Pennsylvania York;synergies;Central;facilitate;Russian;Fresh frame Loan;Refined wireless;Forest;purple;mint;overriding standardization;Forward;budgetary;Ohio SCSI North;payment Generic navigate;pink Engineer Kids;South Optimization Berkshire;Light;1080p Cheese Account;Soap lime driver;Unbranded;Tennessee Developer;Concrete Ruble;Soft Soft Forward;bandwidth Shirt;2023-07-25T11:14:05;solutions Fresh;2023-07-25T10:24:19;firewall;false;PENDING
2;77e5dc40-99c4-417e-82ee-a1b4dab613ba;Tuna payment;Turks deposit hack;algorithm invoice disintermediate;Shirt Strategist Decentralized;Manager;Borders Grocery;Focused;plum Hat;copying;Regional interfaces;schemas;Loan;interface;Utah;Rustic;wireless wireless Forward;Small Vermont;redundant e-tailers;Shoes;bandwidth;Grenada innovate;Rupee Tools Direct;supply-chains Internal Practical;Illinois transmit conglomeration;Home Congo;Buckinghamshire interface haptic;tan FTP;deposit Salad;withdrawal;Alaska Officer;Associate fuchsia revolutionary;multi-byte neutral;2023-07-25T08:20:52;drive;2023-07-25T16:00:30;e-enable South;false;APPROVED
3;ae918493-5b1a-4b67-bcfd-31eb642260b3;haptic;GB;Cotton interface;Rubber Fall;Jamaica Monitored;digital Bike withdrawal;morph Investment;Senior Supervisor paradigms;turn-key Infrastructure solutions;stable face hub;Incredible;Salad Research Designer;index;strategic;Rustic methodologies Gorgeous;User-friendly;port drive;Avon GB Tools;client-driven Senior;Regional array;Salad engage;Marks transparent;Toys;withdrawal;Port;Plastic;Facilitator;Savings;innovative Rustic Granite;Consultant;Rubber;bluetooth firewall;2023-07-25T09:36:09;e-markets Hat;2023-07-25T16:38:41;Connecticut Curve;false;INITIATED
4;cc5d466a-b465-488c-b1df-a740a2efd9f0;Oregon Intelligent Euro;plum;Somali Towels;yellow Buckinghamshire;Buckinghamshire Checking Sleek;structure synthesize;aggregate Missouri Renminbi;scalable Fresh Florida;Island Executive navigate;utilize hacking;International;functionalities Illinois;hacking;withdrawal;Towels black;Associate Balanced;salmon users orchid;Digitized state client-driven;Meadows alarm invoice;ROI wireless Grove;Rue;payment Borders;Nebraska cyan administration;Cheese Integration;Car Jewelery;Dollar Incredible task-force;index deposit;relationships B2C Shoes;Shirt;Account Integration incubate;Concrete;Wooden deposit;2023-07-25T02:58:29;AGP;2023-07-24T22:22:40;orange;true;INITIATED
5;0b9613e4-185a-4093-abc9-af95263deba7;Senior Ball;Sleek Representative;Malta Interactions;innovative;generate success generation;partnerships;deposit Awesome Concrete;Maryland;motivating world-class parsing;Peso;Tuna driver;Industrial Sri;help-desk virtual Cliffs;invoice;Cambridgeshire;Bacon Keyboard Awesome;Skyway;CSS;yellow;scale analyzer North;hack;Handmade Home;ROI Korea Awesome;program Verde Group;lime;Technician Buckinghamshire;array Chief;parsing drive Automotive;pixel uniform;Wooden red deposit;embrace Ramp Bedfordshire;Cambridgeshire deposit;2023-07-25T06:31:36;collaborative;2023-07-24T22:16:42;Account;true;ACTIVE
6;c39ebecf-4d8d-4038-88b3-6fdc44540c4d;Analyst Cheese;Lev Licensed Baby;Colorado Granite Fresh;payment Generic;bandwidth;Specialist;withdrawal Ball;FTP;Human Marshall Books;calculating Producer 3rd;Account monetize;Open-source;product;Future Riel;vortals Metal;View Baht Manager;asynchronous mission-critical;COM bus;redefine Delaware;Wooden withdrawal;Bedfordshire Israeli;revolutionize Unbranded Grocery;service-desk navigate;Croatian Markets;Movies payment;Cotton Metal;Central Branding matrix;Rubber CFP Business-focused;vortals Shirt;Berkshire Planner;Auto;synthesize SMTP Baby;2023-07-25T12:55:16;Buckinghamshire indigo;2023-07-25T03:57:55;Practical;true;INACTIVE
7;77588384-07b5-402a-8b13-0b0262c518b1;Baby;Account hard;Wooden Small;Maine Minor;Massachusetts SAS Fantastic;back;Shoes Venezuela index;e-services up Accountability;Concrete cultivate;withdrawal;programming Market;Tuna;Paradigm;invoice Hat Overpass;Avon payment Cotton;Metal;Brunei;Extension Pa'anga Technician;base Metal;Peso Kentucky Monitored;panel;Mouse plum deliverables;eyeballs Buckinghamshire Future-proofed;Street strategic Granite;eyeballs Cambridgeshire Oklahoma;Steel functionalities tertiary;Optional;matrix compressing Rustic;Morocco Administrator fuchsia;Avon;wireless;client-driven;2023-07-25T00:08:01;Fresh evolve;2023-07-25T10:56:13;green RAM;false;INITIATED
8;76612053-2393-4faf-8c72-f5ffef62143b;out-of-the-box Greece;system;deposit;bricks-and-clicks Account Direct;Zloty bypass engage;synergy client-server Frozen;CFP Namibia;vertical rich Gloves;Granite Streamlined;Wooden;Investor Ball Junctions;Marketing Metrics;synthesize;Credit Incredible 24/7;microchip Strategist;back-end Oregon;grey;turquoise;orange;supply-chains;THX gold;end-to-end Idaho;grey Cotton Cambridgeshire;e-tailers teal Infrastructure;Clothing Delaware Personal;Baby Soft;access empower platforms;Mexican;Dollar Industrial;Small;transmitting;withdrawal bandwidth Berkshire;2023-07-25T08:02:03;Ohio support Silver;2023-07-25T08:01:58;archive Pennsylvania;false;APPROVED
9;ac27954c-178d-421e-874d-6ba01576b2e5;Dynamic Automotive;Rustic;Computers Keyboard;Home Berkshire infrastructures;Russian;enhance streamline invoice;1080p SMTP Congo;Dong;Concrete Corporate Carolina;Shoes bus generate;Health HDD Accounts;invoice Quality Usability;payment;multi-byte;generation Maryland Enterprise-wide;generate;panel;Wisconsin;Berkshire Officer system;Response Frozen;collaborative primary Security;Frozen solid Grocery;Plastic web-enabled methodologies;Account XML parse;Health Centralized;Factors cutting-edge Savings;Movies Kwacha Buckinghamshire;microchip;copy Hat Israel;Checking;Human Steel deposit;neural salmon North;2023-07-24T22:53:39;Pants;2023-07-25T16:18:40;Keyboard;true;INACTIVE
10;24b24412-a10b-4ec1-827a-f572fd89b857;infrastructure circuit;coherent Cotton Nevada;Berkshire programming;calculate;Liaison Cotton;Rupee;Expanded Assistant;initiative Knoll;system;1080p Shoes cyan;Direct payment;feed streamline;online Nebraska deposit;Bike Martinique;Orchestrator Ball;synthesizing interface;Dollar;knowledge;Leone Frozen Intuitive;Intelligent Handmade optimal;Handmade SSL;framework Soap;Regional Virginia Switchable;Future;UIC-Franc monetize;ivory Kids;Gorgeous USB SSL;Gorgeous Keyboard Ergonomic;target Future;Tactics Barthelemy;Re-engineered teal;services;2023-07-24T21:56:03;Global;2023-07-25T11:59:19;mobile backing Customer;false;INACTIVE
