id;absa_tran_ref;biller_id;biller_code;biller_name;biller_category_id;address_id;narative;narative_1;narative_2;narative_3;narative_4;narative_5;narative_6;narative_7;timestamp;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;free_field_6;free_field_7;free_field_8;free_field_9;free_field_10;free_field_11;free_field_12;free_field_13;delflg;created_at;created_by;updated_at;updated_by
1;b5dc033c-2168-48d2-84dd-47d3b690c5ef;empower;Planner sky Account;Polarised International;synthesizing;Tasty Isle Account;Orchestrator Missouri Ball;fuchsia;Generic withdrawal web-enabled;Wooden encoding Plastic;Accountability circuit;Brook;Bedfordshire copy;Branding Agent monitor;2023-07-25T16:32:22;real-time Berkshire;Tools paradigms Rica;generate Rubber THX;transmitting Pound Soap;enterprise Granite Cliff;Agent morph;Idaho Steel Philippines;Frozen;one-to-one;primary e-markets;olive;programming morph;Credit Baby non-volatile;false;2023-07-25T03:58:08;Wooden microchip framework;2023-07-25T01:12:37;Japan
2;c1ddadd3-5bba-4a20-b3d9-7d7857a53e87;Re-contextualized Kwacha;Awesome Oregon moderator;Shoes;Oklahoma;streamline cultivate;quantify Facilitator feed;program Montana Auto;New Awesome Intelligent;Profit-focused challenge;Outdoors payment;seamless;Qatari Stream;Shoes Handmade;2023-07-25T19:47:32;Berkshire Soft;up payment Granite;holistic payment;navigating lime;Computer Rustic exuding;Supervisor;index microchip;Rupee;info-mediaries Guyana Rubber;Metal Savings;Bacon Ergonomic Guadeloupe;monitor card;Home Account Handmade;true;2023-07-25T13:34:34;Right-sized;2023-07-25T02:59:30;Unbranded Gorgeous multi-byte
3;e26a3236-3347-4821-aaf1-f4b721475431;challenge;COM;(Slovak Borders Practical;Accounts;Guilder calculating;Profound Borders;Account contextually-based;Dakota modular;Credit monitor navigate;Specialist Tasty;Buckinghamshire Identity;Shoes Balanced;technologies;2023-07-25T03:29:07;Latvian;Tuna Missouri;Delaware Loan orange;Automotive Springs index;exploit Paradigm;Investment;Strategist;Streamlined;Keyboard implementation Borders;transmitting customer Lead;online Somalia;cross-platform;array experiences Savings;false;2023-07-25T07:45:14;Kip;2023-07-25T11:43:15;Cotton
4;fd4db308-f10f-4713-8a05-018aab7fac53;redundant;Keyboard Movies;Concrete Pizza Berkshire;Mobility Tactics maroon;product Junction Frozen;Avon compress pixel;Cliffs Chips Gorgeous;Frozen;Assurance deposit;matrix real-time mobile;Agent Future;maroon scalable Tools;Lek;2023-07-25T17:12:30;Herzegovina evolve;groupware connecting;Garden Pizza Assistant;integrated;Common Bedfordshire;withdrawal Liaison;cross-media;Graphical Music Trail;maroon COM Stravenue;Granite Islands Rustic;payment Cliff Tuna;Proactive didactic;calculating engine;true;2023-07-25T20:01:17;online South markets;2023-07-25T18:24:25;state Bedfordshire cross-platform
5;d3c8b269-04b1-4d8e-bbcd-50150788c8e4;RAM;Uruguay;Bedfordshire Borders Soap;generating;optimize frictionless neural;Toys Rustic;Cotton Frozen infrastructures;Berkshire adapter;up;wireless Shoes Rupee;Pennsylvania hacking;Programmable Ohio;multi-byte;2023-07-25T09:06:25;Architect Peso Rubber;deposit web-enabled Shirt;indigo;innovative Beauty International;Metal;e-business Liechtenstein;Vermont;Unbranded Port Ergonomic;Market Harbors;interface;Northern AGP;JSON Pants Soft;Research next-generation solutions;true;2023-07-25T04:06:08;payment Buckinghamshire technologies;2023-07-25T19:31:08;Bedfordshire protocol
6;ba2e35b9-c951-45b9-9ed0-2952f4c1cbcf;indigo;Licensed Soft;migration District;Shirt;ubiquitous Checking facilitate;Credit;indexing;Wooden ivory homogeneous;Soap cross-platform;transmitting;matrix;Lane;Computers synergize;2023-07-25T17:59:34;withdrawal Designer;Rustic;Ethiopia;Plastic Associate;solutions;24/7 Grocery SSL;generating Creative;contextually-based Direct parsing;Gloves;Lock;infomediaries;e-services Fort;Kwanza Avon Administrator;false;2023-07-25T21:38:51;brand Assistant Unbranded;2023-07-25T11:37:37;Reduced
7;9f88f151-23e1-45e0-b758-96b39d6fa4b9;payment architecture Comoro;synthesizing index;Music Granite exploit;Coordinator generating;Movies Down-sized;Factors Villages Malagasy;impactful payment Nevada;Personal metrics invoice;incentivize;convergence silver;Stand-alone Account;virtual Soft;Village Car;2023-07-25T19:56:51;set Islands;mindshare Business-focused Garden;Dinar Directives Malawi;Martinique;up open-source compress;capability payment Generic;visualize;port;Customizable;Buckinghamshire Tools Generic;discrete;Integration Central up;Cotton;true;2023-07-25T15:00:36;initiatives withdrawal Bedfordshire;2023-07-25T15:06:03;Strategist feed Pants
8;ea361d07-f5e2-46eb-824d-1b9dd38077d9;Fantastic input SAS;Implementation Buckinghamshire;Music;payment action-items Balanced;AI;Dynamic;Seychelles matrix;portals Massachusetts;Palladium maximized Franc;Bacon Ergonomic Computers;Buckinghamshire overriding tan;Jewelery Vatu end-to-end;Tunnel;2023-07-25T13:30:46;Quality Massachusetts payment;Dinar throughput granular;payment;Tuna;Wells Personal Granite;Trace capability sticky;program Interactions;Bike;wireless intelligence;Senior;toolset;overriding;Health lime Dirham;true;2023-07-25T14:37:02;enhance Toys;2023-07-25T04:52:46;program Turnpike
9;876eedd3-20e7-443f-8533-300d0ecee417;Handmade;Pre-emptive payment back;Cotton;Outdoors;reinvent reboot Trinidad;EXE Viaduct;optimize Kong;Synergistic;Inlet Kids paradigms;Wooden backing e-services;Lodge Rupiah;Senior Bahamas;Account primary SMTP;2023-07-25T09:32:16;task-force Florida help-desk;Landing;online Generic;reinvent Metal;generate;Gloves uniform;quantify;Metal Idaho ROI;Planner state synthesize;Washington;magenta EXE;Rubber capacitor Communications;Account;false;2023-07-25T01:16:48;Tennessee forecast Pike;2023-07-25T15:31:54;payment
10;fefae7c1-245b-4a53-afb0-d5e52551f00b;navigate;Associate Triple-buffered;Rustic back-end Myanmar;disintermediate Granite;navigating Borders;International global system;Executive;value-added Borders Future;revolutionize Savings;haptic neural feed;parsing;Investor Checking engineer;Metal frictionless invoice;2023-07-25T00:20:36;bluetooth;Wall transmitting Ohio;Steel;lavender Shoes Directives;Avon navigating;Utah Bacon Niger;Bedfordshire Minnesota;Dominican card Designer;ivory Republic bandwidth;alarm Greens neural;feed;1080p;Investment project;false;2023-07-25T11:24:32;circuit SAS;2023-07-25T02:36:07;Toys
