id;absa_tran_ref;record_id;product_category_id;biller_id;payment_item_code;payment_item_id;payment_item_name;payment_item_description;is_active;has_fixed_price;has_variable_price;has_discount;has_tax;amount;charge_amount;has_charge_amount;tax_amount;free_text;free_text_1;free_text_2;free_text_3;free_text_4;free_text_5;free_text_6;free_text_7;free_text_8;free_text_9;free_text_10;free_text_11;free_text_12;free_text_13;free_text_14;free_text_15;free_text_16;free_text_17;free_text_18;free_text_19;delflg;status;created_at;updated_at;deleted_at;deleted_by
1;14187b4e-b0a0-4a53-8851-edbff60eccaa;systematic digital Plastic;41251;60869;Fish 1080p;88163;Pre-emptive out-of-the-box Generic;Future;false;true;false;false;true;81490;35388;false;41981;overriding;haptic olive;Officer;Plastic function;focus disintermediate Quality;Frozen Wooden Congolese;Clothing;Officer Account;frictionless efficient AI;dedicated actuating;mobile;Intranet scalable;Trinidad calculate Forward;bypassing Sleek;green;Licensed visualize scalable;Savings Concrete;Rwanda content Minnesota;Euro;Peso District auxiliary;true;Soft;2023-07-25T21:00:44;2023-07-25T20:18:20;2023-07-25T11:26:27;Usability
2;b33053dd-b2cd-4a16-a714-dda75cf1596e;connecting Small Account;95090;18827;indigo Division primary;94277;Shilling;deposit value-added;false;false;true;true;false;30151;32183;true;18759;cyan;model invoice Concrete;Towels;open-source Uruguayo Berkshire;e-commerce;PNG Cambridgeshire;Applications purple;Avon;middleware hacking Villages;executive Metal Suriname;sky;maroon heuristic hacking;Jewelery;Keyboard Table Developer;payment;array;Denmark;Personal;Small state Vista;Self-enabling payment complexity;true;interface;2023-07-25T21:03:52;2023-07-25T04:49:45;2023-07-25T13:10:20;core
3;a6c7d759-91fb-4762-87f2-fc4582225947;Lesotho;46353;8429;withdrawal Legacy blue;29448;Directives end-to-end;optical;true;false;false;true;false;99835;46125;false;78462;methodology cross-platform Account;granular;Cambridgeshire Samoa;dynamic Bacon Assurance;generate Tunnel;Orchestrator Rubber;Valleys Unbranded testing;productize;Business-focused Home;up;state;Libyan Account secured;Oklahoma;monitor overriding Supervisor;virtual back-end bypassing;Carolina indigo;harness Movies projection;hack unleash Peso;Dong;Direct quantify generating;false;back-end navigating Future;2023-07-25T00:20:40;2023-07-25T08:46:34;2023-07-24T22:01:53;Steel Cheese reboot
4;c1b6854a-a0b9-4f4c-a0b0-36836952737d;bypass Portugal;31920;46032;blockchains Identity open-source;4908;Loan Solutions;bandwidth web-enabled;true;true;false;false;true;28200;18308;false;58126;pixel set;Fiji task-force;value-added Checking;Chips backing analyzer;azure Intuitive Communications;Soap Granite;robust cyan Ramp;help-desk transmitting;Jersey Metrics;Legacy visualize;Rubber;local;Knolls XSS;state bus Avon;Dakota Home;application Cyprus invoice;hard;Salad utilize yellow;actuating Concrete;Generic Handmade Handmade;true;Executive Corporate Metal;2023-07-25T11:15:59;2023-07-25T15:01:00;2023-07-25T07:04:52;virtual Myanmar Senior
5;69261e8c-ba14-494f-8333-423b48e2d698;Indian deposit;16219;84642;matrix unleash protocol;98873;navigate;real-time auxiliary Beauty;false;false;true;true;true;31707;10166;true;75605;Virginia Tasty Keyboard;Table Computers Auto;Mills;Cheese;invoice;Bedfordshire;end-to-end Hawaii;innovate Fantastic Technician;Rhode;panel;intermediate;SCSI;Dong analyzer deploy;payment reboot;Car sexy;copying;Response neural Computer;Response technologies Unbranded;synthesize Rupiah transmit;Park;true;Planner Intranet Concrete;2023-07-25T00:43:20;2023-07-25T16:45:26;2023-07-25T07:43:48;benchmark users Account
6;5bc82917-b15e-4ab6-bd24-46751351f0e7;Concrete withdrawal index;29152;88537;solutions orchestration SMS;88029;experiences Manager;Frozen;false;true;true;true;true;31768;19208;true;68190;Avon ADP;Assurance Computers;indigo Specialist RAM;salmon Minnesota;Clothing;orchestration;Bike Cambridgeshire;Steel;feed New Web;Branch;hub Borders transmitting;grey overriding;Tasty benchmark uniform;envisioneer;Course explicit Investor;Administrator Chief;Central wireless;real-time Coordinator Open-source;deliver Home Electronics;Fantastic Auto;false;teal;2023-07-25T01:11:13;2023-07-24T22:47:56;2023-07-25T21:35:07;deposit Handcrafted Borders
7;aefdbc73-45bf-4cd5-a44c-d1c8b792212a;optimize EXE;88244;54885;upward-trending metrics Account;74218;parallelism;Developer;false;false;false;false;false;25067;3734;true;77835;Pants;microchip;Dalasi alarm;compressing invoice;customized Virginia Orchestrator;multi-state Officer Brunei;Pants;Handmade;Keyboard plum;Security overriding Rubber;Forward state Cotton;Ergonomic Concrete;Avon;Florida Loan silver;input;Diverse;Phased Books Chips;Sleek Soap;bluetooth Lead;invoice port bus;true;Fork magenta;2023-07-25T20:21:18;2023-07-24T22:45:38;2023-07-25T01:20:05;Ergonomic Loan
8;2cc5ba7b-8a52-4a43-8530-42c2f5468673;Markets Zimbabwe matrix;52115;88194;frame Solutions;62751;Bedfordshire frictionless indexing;Account;false;true;false;false;true;86819;69321;true;32676;cyan Principal Computer;Iraqi;Account;regional;Product drive relationships;Internal up;synergize;Innovative;Usability Incredible Netherlands;value-added Technician Chips;parse navigating deliver;Central needs-based deposit;Cambridgeshire back-end;Interface French Accounts;port;Function-based;benchmark withdrawal Generic;indexing Consultant;Principal;SSL online deposit;false;Gorgeous;2023-07-25T00:16:13;2023-07-25T16:46:51;2023-07-25T02:47:18;the bricks-and-clicks
9;ae69cae0-398c-4aa4-b0fe-1e0d0b68be3a;Accounts;73223;56343;Maldives Home;18776;Nicaragua withdrawal Optimization;transmitter;false;false;true;true;true;74497;12408;false;39475;Chips;deposit capacity;deposit JBOD;leading;Flats;Rupee 1080p;distributed Identity;morph policy Clothing;Direct iterate invoice;RAM;THX Bacon Tasty;Equatorial Loop;Factors facilitate primary;Minnesota Investment;invoice;Chair Granite;Nepal;cyan engineer Belize;Granite;Chips reboot;false;Interactions Fantastic teal;2023-07-25T01:07:21;2023-07-25T07:09:12;2023-07-25T04:41:40;Vanuatu
10;c899747e-71b9-431c-8fdc-0098e00ae329;extend withdrawal backing;2015;64140;yellow Dollar;95635;Senior Profound;Gloves;false;true;false;false;false;52250;17330;false;93392;Customer-focused Loan deposit;Checking reintermediate;Cambridgeshire;connecting Rubber;SAS withdrawal;Ohio Account Mobility;North Rustic visualize;Executive Creative;Outlying yellow;Borders engineer;Frozen Designer compressing;Legacy Pa'anga Direct;Rubber pink;Minor Designer;upward-trending violet;HTTP;Beauty vortals;SCSI;grid-enabled;wireless;true;Liaison reboot;2023-07-25T01:20:21;2023-07-25T18:35:49;2023-07-25T17:29:32;pink Analyst matrix
