id;absa_tran_ref;record_id;payment_item_code;dt_d_transaction_id;transaction_reference_number;external_tranid;error_code;error_message;response_code;response_message;response_body;timestamp;request_ref;status;customer_field_1;customer_field_2;customer_field_3;customer_field_4;customer_field_5;customer_field_6;customer_field_7;customer_field_8;created_at;created_by;updated_at;updated_by
1;93b2bad3-5b25-4053-a487-dd2915e9f9d8;client-driven;Forest;Account;Function-based facilitate;Cook Jewelery infomediaries;Soap generating;TRANSACTIONINVALIDPAYMENTTYPE;Agent multimedia Card;Georgia schemas circuit;Sausages bypass;2023-07-25T08:15:24;Automated Fish Som;FAILED;Indonesia Account;Plastic;magenta paradigms Berkshire;index deposit Savings;e-services viral De-engineered;initiatives Configurable Gourde;Florida Kwacha;mindshare back-end;2023-07-25T20:02:45;Bacon 24/7 bypass;2023-07-25T11:09:14;Zealand bandwidth robust
2;cce13a9d-1782-4584-9e2e-95975ba0e214;virtual sensor;generating Personal dot-com;Berkshire back-end Bulgaria;deposit deposit;Greens;deliverables;TRANSACTIONPENDING;deploy synergize systematic;Investment deposit;overriding productize Clothing;2023-07-25T19:53:04;Money Cambridgeshire;FAILED;metrics expedite;Massachusetts;Towels pink Music;Future;synthesizing bus;Borders Concrete programming;Metrics AI;proactive Rustic dot-com;2023-07-25T06:04:10;Devolved Liaison;2023-07-25T14:20:36;Well
3;3b8b6082-dc9c-4b6f-b59f-1bf20efce7f6;olive mission-critical Granite;Frozen microchip;morph;Table;Savings web-readiness azure;firewall International Martinique;TRANSACTIONINVALIDINVALIDAMOUNT;payment invoice Future;holistic sticky Bolivar;Shoes JBOD programming;2023-07-25T09:56:32;transmitter relationships framework;UNKNOWN;Mississippi index;Egyptian throughput Officer;Cloned invoice Adaptive;Facilitator;salmon invoice Ergonomic;GB;Branding;and Soft;2023-07-25T13:45:17;indexing Fantastic;2023-07-25T11:29:18;connecting
4;fd3d8d4a-bedb-4c5d-91e9-49482bfb3b63;edge;real-time Philippines;Plastic Cotton;withdrawal black transmitting;turquoise;Investment transmitter synthesizing;TRANSACTIONINVALIDACCOUNT;Fantastic;methodical Movies Uruguay;Qatar deposit;2023-07-25T17:50:17;calculating Games Austria;UNKNOWN;program;Bedfordshire Shoes;SQL Open-architected;hacking;Switchable;explicit;Analyst Direct AI;Cambridgeshire;2023-07-25T14:16:53;Tala;2023-07-25T16:08:09;Concrete
5;4421d79c-dd17-46c4-b520-9caf4eb70c13;whiteboard;Ergonomic;Mouse;archive Future;Frozen Fantastic;fault-tolerant Internal;TRANSACTIONUNKNOWN;capability empower;Island;Director dot-com;2023-07-25T10:08:36;Industrial Handcrafted Wooden;PENDING;Refined Franc firewall;Home primary;Corporate Buckinghamshire;Intranet;deposit Pants Configuration;Avon Practical Developer;hard;data-warehouse;2023-07-25T03:28:59;info-mediaries neural;2023-07-25T04:29:02;invoice Cliff
6;cdcad011-3cdd-4656-83e1-e453b1cbca06;Designer protocol;Incredible;Motorway quantifying Kansas;Home Dominica Granite;Hat neural systemic;Designer Producer bypass;TRANSACTIONINVALIDPAYMENTTYPE;West Row Networked;Steel Garden Concrete;metrics Intelligent;2023-07-25T14:47:05;Shoes B2B Associate;SUCCESS;invoice invoice;eyeballs;Visionary Balanced;Interactions;De-engineered of;calculate synergize;card Future;Auto Open-source forecast;2023-07-25T18:05:10;Technician;2023-07-25T07:12:52;Steel invoice Credit
7;2a7a3c4c-eb09-47bd-b8d8-a7036d409bf9;Pizza Rubber SSL;Kitts;Computers turn-key synthesize;navigate backing portals;Tennessee Savings Fantastic;Regional Executive;TRANSACTIONPENDING;digital;Account pink;Hawaii gold;2023-07-25T13:46:33;Developer;PENDING;Honduras;Account;Human unleash Generic;drive;e-business Plastic;Global;Soap;alliance Iowa;2023-07-25T09:25:27;Focused Tuna;2023-07-24T23:15:30;Web compress
8;bada4a45-9481-4ad2-ba29-9e2cb03771d9;Greens;Cotton;Coordinator Garden;Frozen XSS heuristic;Jewelery Phased;Seamless;TRANSACTIONINVALIDBILLERCODE;Pants Strategist Rubber;mesh Cotton;Gloves;2023-07-25T16:28:22;iterate Optional;UNKNOWN;Global bluetooth;Oregon FTP firewall;Congo invoice;calculate;Generic frictionless impactful;bluetooth architectures Towels;deliver web invoice;Towels;2023-07-25T07:24:29;Cross-group Steel green;2023-07-25T09:52:12;redefine
9;8848b59e-ad8d-49b4-bab4-5e871f2d1769;Multi-lateral;Mexico Gorgeous Industrial;Money incremental bus;Awesome Officer;Manager Macedonia Intranet;Multi-tiered;TRANSACTIONAPPROVED;Ergonomic Cheese Minnesota;hard Dynamic;Fiji;2023-07-25T01:26:03;mobile Locks Berkshire;FAILED;quantifying Usability;Harbor;Pizza;Pizza Clothing;application Plastic;generate;IB white deploy;Pants;2023-07-25T21:23:23;back-end Orchestrator Dynamic;2023-07-25T20:02:23;Outdoors generate interface
10;9ca71852-11b0-4f4b-a895-14dcc6e41c6a;navigating e-commerce South;Bacon Utah;Tanzania;Implemented COM tertiary;auxiliary;District;TRANSACTIONINVALIDDEVICEID;Rupee access Tactics;extend back program;Gloves Wisconsin Corporate;2023-07-25T09:56:25;Credit RSS Triple-buffered;SUCCESS;generating multi-byte Bacon;Pizza;bandwidth Account Cambridgeshire;Facilitator reboot Isle;pixel Territory withdrawal;invoice;Saint Outdoors;Vermont;2023-07-25T00:38:39;Aruba Unbranded generating;2023-07-25T15:56:40;withdrawal
