id;absa_tran_ref;record_id;action_id;timestamp;old_value;new_value;change_resaon;description;description_1;description_2;description_3;description_4;description_5;description_6;description_7;description_8;description_9;free_text_1;free_text_2;free_text_3;free_text_4;free_text_5;free_text_6;free_text_7;free_text_8;free_text_9;free_text_10;free_text_11;free_text_12;free_text_13;free_text_14;free_text_15;free_text_16;free_text_17;free_text_18;free_text_19;free_text_20;free_text_21;free_text_22;free_text_23;free_text_24;free_text_25;free_text_26;free_text_27;free_text_28;created_at;created_by;updated_at;updated_by
1;f5144959-8a4d-406e-b2a0-268a2916b404;Way solution systems;N;2023-07-25T11:44:06;bottom-line;Gloves;bus parse withdrawal;Maine panel;Alabama bluetooth technologies;mobile SMTP;SCSI Rest SAS;Creek;Soft content protocol;Cheese capacity;moderator array;paradigm Tasty recontextualize;connecting help-desk digital;disintermediate;Director;Investor payment;navigating Corporate;Wooden payment;Road;area Soft Rufiyaa;Awesome;Tuna withdrawal;SCSI;Factors Minnesota;back-end Quality;Carolina maximized;Facilitator yellow;Buckinghamshire;sky El;Small open-source;Front-line;Hat Rubber Supervisor;North Australian Bacon;e-services;Front-line Team-oriented;Checking Analyst calculate;mission-critical Plastic Taka;ivory;Liaison;withdrawal strategic XSS;Visionary HTTP Pizza;2023-07-25T20:03:31;architectures port;2023-07-25T16:03:35;XML
2;0a90fa8f-2110-473b-b0fc-ee106f237a5a;Implementation Tuna;N;2023-07-25T04:38:14;navigate Borders budgetary;Enterprise-wide;Developer Mountains;online;Cambridgeshire ADP Rupee;Strategist Sahara;deposit Keyboard Plastic;orange secured JBOD;Gloves asynchronous Home;optical online intangible;impactful Won;moratorium Shoes Designer;Land;Light;Dynamic Engineer;Regional Functionality;Tala uniform;sky;wireless;Data;e-commerce;regional Pants;Specialist Bedfordshire Fort;Oklahoma XML Coordinator;PNG Strategist;1080p haptic;system-worthy d'Ivoire Dirham;bypass homogeneous Brand;bypassing;International FTP;override compress;Computers;Algeria China Markets;District synthesizing bluetooth;Ameliorated;communities value-added input;Music plum Frozen;hardware;solid;Towels;Music Gorgeous;2023-07-25T14:39:38;Directives parse;2023-07-25T06:54:45;Avon Games
3;cf75e900-42b4-49de-aa84-a19ded7dfbe0;alarm Intelligent focus;P;2023-07-25T10:01:57;cyan;Ergonomic Maine cultivate;ADP index;India Island RAM;Division matrix Books;GB Bedfordshire Bermuda;Court Engineer Money;Assimilated;Internal Loan;Turks Savings;Bacon Heights;pink Field system;microchip Wooden;Account Quality;Indiana UAE;Tools;Checking strategize Delaware;Creative Arizona;Directives Tools override;Concrete;Extended Grass-roots;Borders Pants Soap;clear-thinking;invoice;Incredible Zloty Investor;Panama;models Ramp;Buckinghamshire tan;virtual Licensed Alabama;Nevada Borders;calculate Wooden implementation;Hat Plastic Research;1080p;black payment;withdrawal Chair;invoice Creative;calculate grow;payment;payment;action-items;Fresh Business-focused generate;2023-07-25T13:24:14;infrastructures;2023-07-25T11:41:24;Licensed software Chips
4;6108291b-e9f6-41cc-af15-03e7bec5af8d;transmit;N;2023-07-25T20:27:47;client-server Cambridgeshire Industrial;recontextualize;framework Kip Corporate;programming;Representative Kansas Avon;Fantastic;deliverables;Intranet transmitter;black panel envisioneer;evolve withdrawal;SAS;back Buckinghamshire methodical;transmitting;clear-thinking;grid-enabled;Towels middleware magenta;magenta;Forward program;Serbia PCI killer;Borders Credit Concrete;maroon virtual;Islands Bahrain;Representative Paradigm;Monitored Loan;Centers;Switchable;array Future-proofed;Kiribati bluetooth;bandwidth;Fish online client-driven;parse Division Operative;Sleek Jewelery Analyst;Organized Small;Cotton generating;Fantastic architectures Frozen;Virginia Re-engineered;deposit strategic;deliver hard multi-byte;Macao red Virginia;IB Franc;context-sensitive dynamic;2023-07-25T17:14:10;Metal Outdoors Internal;2023-07-25T07:01:12;Auto Grocery Markets
5;d63383b0-c031-4b55-9b5e-f7bd68236bfe;matrix value-added;X;2023-07-25T07:03:51;experiences Lead Legacy;Cotton deliverables;microchip Representative Soft;Georgia;India;scalable Plastic copying;empowering Namibia Bahamian;deposit Chips;improvement;Implementation;Strategist Granite invoice;Front-line Auto Refined;Sausages;Internal optical;Automotive incubate;array Leu;Niger intuitive;mesh Cotton UAE;Vista parsing Belize;Dong Associate Berkshire;hacking;quantifying;(Vatican e-markets;sky;Concrete bypassing Account;Concrete quantify;asynchronous;alarm International haptic;dot-com mindshare schemas;e-tailers panel HTTP;EXE Handcrafted ubiquitous;application;Integration alarm;deposit;RSS multi-byte 1080p;Baby dedicated;Concrete;wireless transmit up;connecting Intranet proactive;Toys;Bacon;2023-07-25T04:35:38;Consultant Fresh AGP;2023-07-25T05:20:07;synergies Concrete Saint
6;d675b78a-8c0d-49e7-87b9-9a35908a7261;Table;X;2023-07-24T22:29:04;Program scalable;Shoes Oregon;pixel;neural bluetooth Savings;Chicken;Arkansas;local lavender;Infrastructure SSL ivory;synthesizing;overriding scalable Upgradable;Africa Coordinator Borders;Incredible Rubber America;heuristic Music Garden;Sleek;Producer engage;Awesome implement Gibraltar;24/7 generating;withdrawal Curve;Ergonomic alliance lime;Loan;Account incentivize;bifurcated Salad;Cotton;IB;Savings;Virtual;mobile Cotton;Account;Borders Peso;hack;Incredible HTTP Chicken;Cambodia;e-business Frozen;Associate Strategist Towels;1080p;Danish;Small;bandwidth;Pizza;Uganda;array Montenegro United;2023-07-25T16:22:36;Polarised Borders Account;2023-07-25T01:09:30;compress Investor
7;da592249-22eb-4b73-ba83-cc3024713085;Electronics Associate Rial;X;2023-07-25T14:19:08;Automated Unbranded;quantify;Singapore;cross-platform;Mission;Persistent;yellow bypassing quantify;payment networks;Plaza Manager Maine;Avon Human;Organized synergistic;Brook Program;Plastic Frozen input;initiatives;Oklahoma;Gibraltar hacking;AGP Factors;International Hat;Central;Marketing Steel;backing pink Carolina;Focused;feed hack;Tala Oregon;yellow;Account;Distributed Digitized Mouse;purple functionalities;Account;Cambridgeshire strategy open-source;Officer metrics virtual;multimedia;Cheese Intelligent;concept;frame Associate Cotton;Frozen;connecting generating;Account;Configuration;Intelligent;Dynamic GB Knolls;2023-07-25T02:27:52;Clothing Graphic;2023-07-25T14:57:26;panel
8;8ef7100b-7357-4cf6-95f6-f36ec15ed127;Security;N;2023-07-25T16:22:46;Mobility;Lead;Tuna Argentina;Georgia Palladium copying;Wooden Garden copy;Michigan Forges;Account;digital administration;invoice Synergistic dynamic;navigating Salad Lead;Hungary;Brand IB;quantify;Pennsylvania Communications Germany;orange Unbranded;Operations firmware;Customer Bike Concrete;conglomeration;emulation;SSL salmon;mission-critical Soap parsing;orchestrate Villages Computer;UAE Bedfordshire;Djibouti District bandwidth;Factors;green;fuchsia functionalities;management Planner Assimilated;portal olive applications;Account compressing;Buckinghamshire Investment Shoes;alarm maximize XML;emulation feed Rubber;Producer architect;maroon;Assurance workforce;generating;Beauty Metal back;capacitor;Handmade Tuna;system streamline;2023-07-25T04:07:30;Guarani withdrawal;2023-07-25T00:55:56;Facilitator
9;3aa8095f-54b0-45d2-a55d-2faa252c35a4;payment redundant Iowa;P;2023-07-25T04:19:43;Ergonomic;red SDD USB;Account deposit Licensed;input;Assistant deposit;Account compressing;Shirt;Pierre;Movies invoice virtual;enhance payment;Hawaii XML pixel;quantify;Springs Plastic Developer;architect Borders;alarm payment green;generating Forward;Infrastructure Metal;Mountain;Buckinghamshire engage;withdrawal Specialist Salad;Pants;Indiana;Wisconsin asymmetric implementation;green Health;Nigeria;override;Loan;firewall Rapid Borders;Cotton Paradigm (customarily;groupware;Concrete;PCI index synthesize;Sleek;Shoes;Taiwan zero;redundant;payment Intelligent;Senior and Ukraine;withdrawal;Versatile Cambridgeshire Shoes;maroon Response;2023-07-25T04:26:28;Quetzal Account Metal;2023-07-25T02:54:19;Electronics Plastic online
10;0e9448cf-83b5-410a-a6bd-31c786fff9e6;sensor IB Dynamic;Y;2023-07-25T08:57:00;Infrastructure salmon;Mayotte Planner;Movies Re-engineered Turnpike;hardware;Generic;experiences secondary Myanmar;web Port;Vatu Lead Profit-focused;Ergonomic payment interface;plum Lari Ball;Unbranded Graphic;user-facing Frozen online;Pizza;auxiliary Cyprus;mint;orchid indexing Borders;Court;foreground;Internal;Corporate;Oklahoma Gloves;Implementation quantifying;Virtual help-desk Utah;metrics ROI connecting;San turn-key Pizza;Loan International;Granite Nevada fault-tolerant;Avon fuchsia;Berkshire;Sleek;Planner;microchip Land;Sudan;Profit-focused Wooden hacking;impactful;Garden Awesome;AI;Manager;reinvent Frozen Assistant;redundant;parsing synthesize Chicken;2023-07-25T16:33:59;Surinam;2023-07-25T11:23:25;multi-byte invoice Customer-focused
