id;absa_tran_ref;record_id;biller_id;biller_name;biller_acc_number;biller_account_description;timestamp;biller_free_field_1;biller_free_field_2;biller_free_field_3;biller_free_field_4;biller_free_field_5;biller_free_field_6;biller_free_field_7;biller_free_field_8;biller_free_field_9;biller_free_field_10;biller_free_field_11;biller_free_field_12;biller_free_field_13;delflg;created_at;created_by;updated_at;updated_by
1;a7e88142-1739-411e-b54d-a6f51638946c;Roads;Integration leverage;systematic;back overriding;Producer;2023-07-25T18:56:13;circuit auxiliary Fantastic;Buckinghamshire Buckinghamshire invoice;Maryland ADP blue;Computer Wyoming circuit;extensible Frozen Fresh;Arizona bus payment;payment;Group hard;California;revolutionize Soft copy;EXE Soft;Samoa;maroon;true;2023-07-25T04:42:08;pixel New Implementation;2023-07-25T06:20:02;Engineer monitor programming
2;cd838ca5-319d-429e-b803-17d1ec02f408;Freeway;Monitored Personal;lime;Rubber;feed Tactics virtual;2023-07-25T10:05:55;encryption Bacon Steel;Music payment deposit;XSS;wireless Kip Tools;up;systems;Cotton Arizona;invoice partnerships Shirt;architecture generation;Dinar platforms;invoice;Australia;index;true;2023-07-25T14:08:38;Rubber networks;2023-07-25T06:13:24;compressing digital
3;44c5c590-5e85-40c5-8ac4-c7ce8a2f328f;Gloves;tangible FTP;protocol;overriding out-of-the-box;Synergized Sleek calculate;2023-07-24T22:40:17;Madagascar Island;quantifying withdrawal generate;Plastic Dirham Salad;Iowa;Division;Loan Metal XML;Plaza wireless;Account;Multi-layered;Sleek;system Buckinghamshire Divide;bypass California;Account 24/7;false;2023-07-25T08:43:46;neural Electronics;2023-07-25T12:51:05;scalable
4;3842ea47-0f7e-45e6-8fd5-b8e68f0dd82a;Tunisian;withdrawal Soft;Quality Account;Investment deposit Kwacha;black Architect;2023-07-24T21:56:18;Corporate payment;payment Tuna Delaware;Integrated;National;e-commerce;Security Islands Granite;CSS Romania;hardware haptic Car;SSL Reunion Tasty;Forward Ameliorated transmit;contextually-based;turquoise JSON didactic;mobile pixel;true;2023-07-25T19:22:48;Clothing indexing Metrics;2023-07-25T13:59:50;Money
5;1ed07846-56f7-49bb-807a-d93f81d943d7;Missouri Balanced;South Frozen;Rustic auxiliary Beauty;redundant Cyprus;neutral Direct Buckinghamshire;2023-07-25T11:51:06;Guernsey;Nicaragua;Manat disintermediate;User-centric Metal Executive;pixel Rupiah Incredible;Metal Fresh black;Soft;Clothing Small withdrawal;indexing frictionless;Unbranded cyan Small;Designer;Borders Metal;Cambridgeshire;true;2023-07-25T01:25:22;Dollar Michigan;2023-07-25T19:19:52;Views
6;84fe7558-3780-4dd3-a7f3-940ea5ae3ef0;zero Frozen navigate;Card Buckinghamshire;Ball hacking Toys;tertiary;Chief target partnerships;2023-07-25T14:04:25;harness;global Internal;management program;index;Accountability;haptic Avon Thailand;haptic;IB B2B;Adaptive Forward calculate;Mouse;Kingdom strategic;tan;Parkways Avon Computers;false;2023-07-25T07:17:16;collaborative;2023-07-25T17:59:32;high-level haptic deposit
7;67fa369d-ffb6-4939-bd81-387c2fce6ef3;Intranet Pre-emptive Krone;Compatible real-time;Metal online compressing;Colon;technologies;2023-07-25T18:54:03;Cuban;navigating;generate indexing;Integrated West invoice;Spur mission-critical;Dynamic Senior;PNG;Vision-oriented Avon;application Mozambique;Missouri Korea;neural;revolutionary;compressing Health;true;2023-07-24T21:59:58;back-end Alabama;2023-07-25T11:15:49;help-desk Legacy Sleek
8;3843f3f6-53f8-4832-b434-5dc2d523cadf;Administrator;deposit Borders;JBOD;Supervisor synthesizing matrix;Bacon reboot;2023-07-25T16:34:36;transmitter RAM;calculating Branding;Chair Shilling;Mouse;Towels Account;Checking Unbranded User-friendly;Soft Wooden;function;directional Missouri Concrete;Pizza Handcrafted Wooden;Sports Account program;Vermont Route;Buckinghamshire;false;2023-07-25T06:41:05;salmon Awesome Toys;2023-07-25T01:51:48;bluetooth Island indexing
9;dcd09b18-a8ac-4a5f-80ef-4496e00efe79;Chips;Fresh Light;Account Direct;Berkshire withdrawal;JBOD deposit;2023-07-25T17:22:31;Dinar radical Ball;Illinois;Automotive indigo overriding;Cotton mobile;Indiana COM;extend;matrix Frozen Frozen;Card bandwidth Accounts;quantifying;District tan;challenge;open-source;strategic Kids;true;2023-07-25T21:21:48;Plastic architectures;2023-07-24T21:50:24;Program Mississippi Bike
10;49975aac-1264-456f-9e1d-2e2f3bc6b411;Village needs-based;alarm Maryland;XSS;Dakota model National;HTTP navigating partnerships;2023-07-25T20:36:49;management;innovate projection;Avon complexity;Gourde set Roads;Security collaborative haptic;quantifying Generic;SDD Michigan;navigate California;CSS best-of-breed ROI;Intelligent;application;indexing;Handmade Agent;true;2023-07-25T03:13:11;CSS Chicken;2023-07-25T09:30:44;Pa'anga
