id;absa_tran_ref;biller_id;payment_item_code;dt_d_transaction_id;transaction_reference_number;external_tranid;channel_code;channel_name;channel_description;timestamp;chanel_free_text;chanel_free_text_1;chanel_free_text_2;chanel_free_text_3;chanel_free_text_4;chanel_free_text_5;chanel_free_text_6;chanel_free_text_7;chanel_free_text_8;chanel_free_text_9;chanel_free_text_10;chanel_free_text_11;chanel_free_text_12;chanel_free_text_13;chanel_free_text_14;chanel_free_text_15;chanel_free_text_16;chanel_free_text_17;chanel_free_text_18;chanel_free_text_19;chanel_free_text_20;chanel_free_text_21;chanel_free_text_22;chanel_free_text_23;chanel_free_text_24;created_at;created_by;updated_at;updated_by;delflg
1;b4be0808-8537-4d61-930f-e266c36f27ba;Ringgit Research Applications;Dollar;Home deliverables optical;program Dollar;Object-based Practical;withdrawal deposit e-commerce;Court;Ergonomic contextually-based;2023-07-25T19:42:28;cutting-edge Leone;lime;lime back-end Buckinghamshire;Sleek Dollar;enable transmitting;Comoros Sharable;tan Legacy;utilize;e-business invoice withdrawal;Incredible Incredible XML;global;lime;Digitized;Marketing cross-platform;Jersey;Stream Re-engineered Loan;Gloves logistical;optimize withdrawal budgetary;Handcrafted Intelligent;Pennsylvania;National Implemented;gold;hardware Credit;Distributed Group silver;Cross-platform Baby;2023-07-25T19:52:48;SMS holistic;2023-07-25T06:47:03;Implemented;false
2;73cdb712-1278-4e6c-bedc-38d33fcc6182;Borders;open-source International;Parks Avon best-of-breed;composite;Director pixel;1080p e-commerce Borders;Hat Steel;Multi-channelled;2023-07-25T07:36:01;productivity Towels;Sol AGP applications;structure Functionality;Operations;Kroon Cambridgeshire Grenadines;needs-based capability;Row Awesome;Future JSON Small;Investment channels;transition synergy multi-byte;generating;zero killer haptic;portals Maine;human-resource Soft;International;challenge Optional;Rustic array Beauty;Fantastic Communications;Consultant Cambridgeshire Configuration;parse;Analyst e-commerce;generating;Officer interface blue;Implemented;synthesize Knoll Wooden;2023-07-25T00:58:52;Peso invoice Crossing;2023-07-25T19:50:53;feed hack;true
3;2c77cd85-6145-4ec4-bc15-f2316df71d99;open-source;Refined encompassing;protocol Loan;Re-contextualized Granite Intelligent;e-enable;connecting;Ridge enhance;green Jewelery;2023-07-25T15:04:38;program;North distributed bluetooth;Checking;payment;throughput application Adaptive;Kansas orange Account;Product HTTP Account;utilize Connecticut;Cedi e-commerce;1080p;systematic 24/7 Tennessee;Small extensible;generating hack Borders;Chicken;Rial;Buckinghamshire;portals Wooden;Drive Bedfordshire invoice;alarm parsing open;Peru;Pataca Electronics;generate repurpose payment;embrace;capacitor platforms;lavender Minnesota Senior;2023-07-25T06:36:30;Coordinator;2023-07-25T10:48:11;Frozen;false
4;c8ec6c36-58be-4552-b551-9cbcd18349ff;Unbranded Identity Dinar;bandwidth Music;Angola deposit;lime Orchestrator RAM;Designer Forward;Hong withdrawal;superstructure;Grocery;2023-07-25T15:00:37;bandwidth Inverse quantifying;Niue;matrix;holistic pink;flexibility Wooden;panel channels;programming Pizza;metrics;Honduras (Slovak User-friendly;override Fall index;hack embrace Andorra;transmitter;Extension Fantastic;Senior 24/7;Avon;CSS;multi-byte Paradigm;Awesome optimize disintermediate;efficient Developer;aggregate Incredible olive;group;neutral;Summit;administration program Movies;XSS Borders;2023-07-25T12:57:17;auxiliary Response Practical;2023-07-25T00:37:25;Borders Berkshire;false
5;32f2ec93-2d16-4027-b119-bdfe83f35e6c;Verde Mouse;Fantastic backing;Future;Vision-oriented application;Concrete navigate Account;global payment hybrid;Account;Gorgeous iterate;2023-07-25T19:49:32;Codes Massachusetts Tunnel;Generic Plastic;Toys Plastic District;Carolina;Operations;Gorgeous Handmade COM;Ergonomic;navigating repurpose Accounts;Shoals;Gorgeous;human-resource Kuwait e-tailers;Keyboard redefine;back-end;facilitate;Switchable pink;Guiana;Directives Identity;Faroe syndicate pixel;GB indigo;generation Egyptian Global;Legacy;Michigan Lari quantify;Frozen;Kids Innovative reboot;Usability Seamless;2023-07-25T07:49:09;Cambridgeshire Berkshire;2023-07-25T11:38:01;whiteboard;false
6;5fede2e9-9c64-4567-9e69-dcbef5372129;Clothing Generic;Movies;azure;24/365;GB;transparent Health;Steel Romania;Sausages online;2023-07-25T07:58:45;collaborative generation;Market web-readiness Rhode;Avon;Consultant;Sausages Maryland;mesh microchip;connecting;Rupee;Frozen;recontextualize Franc;multi-byte transparent;Cambridgeshire models;Bhutan Games Ergonomic;metrics vertical;Ergonomic;CSS;Hawaii;Mouse;array Outdoors Account;Handcrafted e-enable;transmitting;generate Consultant Frozen;Licensed firewall;deposit SSL;Team-oriented;2023-07-25T11:40:25;hard Mouse Generic;2023-07-25T12:00:11;copying;true
7;013a77e1-7154-443c-bb5b-168decde6e9a;e-business cross-media;Toys 4th;Platinum strategic Louisiana;open;Account;proactive markets;Wooden Supervisor;Concrete;2023-07-25T09:08:31;Cambridgeshire;hack Eritrea;Card Clothing;Car;Avon Sausages;grey Lead fault-tolerant;Cove;synthesizing;Intelligent schemas;purple;task-force Lebanon e-services;plum Industrial SDD;matrices Frozen;Fantastic bluetooth;HDD Kwacha Fresh;deposit;hybrid Metal;Supervisor Account Gloves;lavender Buckinghamshire Chair;Indonesia Toys;Cambridgeshire Sleek;Consultant;programming Metal Factors;microchip Response Handcrafted;Account;2023-07-24T22:24:56;technologies Cambridgeshire THX;2023-07-25T04:04:53;Riel leading;false
8;b4b7775c-4b4a-459f-a543-7438a57ef340;Product monitor Uzbekistan;directional;Facilitator Taiwan alarm;User-friendly Refined Branding;overriding productivity overriding;Trace Salad target;Directives;invoice;2023-07-25T09:27:39;Central scalable;Cambridgeshire CSS;connect;Enhanced mobile;Regional RSS set;driver Grocery;Health redundant clicks-and-mortar;Bike;online;Home front-end Response;Colorado back-end;calculating Village;one-to-one Bedfordshire;Awesome;invoice Knoll Cambridgeshire;port Lanka;Loan AI Frozen;Pants Saint interface;Poland Computer Guiana;Buckinghamshire Granite;Card;Practical;withdrawal;Macao;Grocery Wooden SDD;2023-07-25T20:11:56;Music Fresh violet;2023-07-25T12:14:35;Refined;false
9;5c84d69e-cd86-48cf-8190-5fee5fdae852;Chief Gloves;Bedfordshire;Michigan Up-sized;markets;SAS virtual clicks-and-mortar;Group technologies;Soap;Wooden Interactions CSS;2023-07-25T20:21:53;cross-platform productize eyeballs;tertiary;Bedfordshire 3rd Industrial;Mountains deposit payment;Tasty Towels Avon;Buckinghamshire;Electronics Ghana;Configuration Ergonomic;Savings;Denar Wooden B2B;India Executive;Avon;responsive Pants Market;Metrics Ball;Practical;Toys ADP initiatives;Pizza Buckinghamshire;Applications Tuna Accountability;interactive;Fish Jordan Sharable;Manager Savings Pre-emptive;blue Nebraska Networked;Planner;Tennessee;online;2023-07-25T12:45:05;array;2023-07-25T21:45:06;Islands,;true
10;c017832d-a6ec-4e7c-a1ca-40ddd96a4edd;parse Poland Plain;Berkshire;Florida;quantifying;invoice;navigating Horizontal;Lilangeni National ivory;Business-focused Granite needs-based;2023-07-25T01:10:18;Steel Metal XML;parsing;Salad;wireless Multi-lateral;real-time generate;District;repurpose Balboa;envisioneer;Concrete;pixel digital;robust back;hard;neural-net Sleek backing;cutting-edge Creative;De-engineered Tuna Lithuania;Afghani Future-proofed;Pizza;generate Representative;Washington synthesizing;Home Small;Computer;invoice tertiary;Home;payment;Planner Associate;2023-07-25T06:27:06;firewall Credit Automotive;2023-07-25T15:06:14;Maryland Florida Pennsylvania;true
