id;absa_tran_ref;biller_id;record_id;product_category_code;product_category_name;product_category_description;product_category_image;product_free_field_1;product_free_field_2;product_free_field_3;product_free_field_4;product_free_field_5;product_free_field_6;product_free_field_7;product_free_field_8;product_free_field_9;product_free_field_10;product_free_field_11;delflg;created_at;created_by;updated_at;updated_by
1;445bf2c4-50f5-49c1-bffe-befc62e0a923;circuit Granite;cutting-edge;Avon;card connecting;Palau;Fresh;Chair multi-byte;../fake-data/blob/hipster.txt;Buckinghamshire virtual;calculating;quantify;Universal reintermediate;Jersey payment Advanced;PNG vertical Afghani;interactive Togo;Brunei Guernsey;Movies;false;2023-07-25T12:59:05;Awesome Riel eyeballs;2023-07-25T15:49:47;Baby Nevada
2;8cbc95d8-f576-417b-b4c4-d0da0fe35f8c;Coordinator indexing;USB haptic invoice;invoice robust Colorado;Assurance Georgia;reboot;Global Gloves haptic;Hat De-engineered;../fake-data/blob/hipster.txt;PCI firewall homogeneous;Cambridgeshire Extension;Books Cotton;Minnesota Auto user-centric;full-range vortals Bacon;paradigms Uganda;copying web-readiness;Future-proofed Business-focused;overriding Identity XML;false;2023-07-25T17:44:32;Armenian;2023-07-25T13:45:39;Cape
3;632a9a3f-b2e7-4e21-b10c-6fcbba28d2cf;withdrawal deposit SSL;demand-driven Kentucky;deposit AI;Central Division;invoice Open-source Dynamic;Guiana;Focused Jordanian;../fake-data/blob/hipster.txt;auxiliary;Estonia programming;Junction;Chips Granite;grid-enabled Bedfordshire e-enable;Borders;Pennsylvania;Liberia cyan USB;d'Ivoire;true;2023-07-25T05:37:04;Principal;2023-07-25T18:51:46;olive exploit bi-directional
4;05816920-4dfe-4bbe-8f43-9abb4ad799a7;black Lead;Radial;Buckinghamshire Small applications;Marketing;index paradigms;Frozen Loan programming;HTTP Virginia Mouse;../fake-data/blob/hipster.txt;Iowa Oregon Cotton;TCP;HDD Movies;virtual integrate;Arkansas;website;Industrial;Market;ubiquitous Sleek Vermont;true;2023-07-25T17:27:11;Account quantifying District;2023-07-24T23:12:57;firmware installation Research
5;17264bcb-3fa2-4d9e-8e10-0a390e2a3743;exploit task-force;Frozen Krone Consultant;SAS Cheese Licensed;Granite;Games Fully-configurable Gorgeous;Bahraini;Mobility;../fake-data/blob/hipster.txt;Legacy;deposit Cliffs Tools;secondary Plastic Dynamic;Koruna Fresh Pennsylvania;Wyoming;Rustic;Account;Data Optimization;disintermediate Global Up-sized;true;2023-07-25T07:03:58;generation Fresh;2023-07-25T13:22:15;Keyboard Automotive
6;85bfb8f0-2a25-434c-aa65-556b30cefa07;Generic Metal;maximize De-engineered Human;Sausages Electronics Connecticut;Kenya;Kuwait success;envisioneer;Table navigating Vista;../fake-data/blob/hipster.txt;Digitized withdrawal;Tools;viral;Hong;middleware PCI Austria;Mauritius;THX mission-critical;Plastic PNG;Security Bike;false;2023-07-25T02:55:07;Tasty;2023-07-25T08:06:57;Nebraska Account
7;fc32c6f8-e61f-4162-90c5-ee16ccbf019c;Sausages communities;Bedfordshire Caledonia;bluetooth Squares Island;Bike lime Facilitator;Shoes Loan encryption;e-markets interactive;iterate;../fake-data/blob/hipster.txt;Savings Hill;Grass-roots Rustic Mouse;Montserrat Ergonomic;index;Bedfordshire;Ball;Wooden Research;functionalities maroon;Way Eritrea withdrawal;true;2023-07-25T04:58:38;Accounts Designer;2023-07-25T07:41:31;mindshare
8;b8566970-6d0b-4a9c-b95a-b40e12e4d9aa;zero;Cotton Card;back-end SCSI Brazil;innovate copy Indonesia;Licensed;Beauty;intuitive;../fake-data/blob/hipster.txt;Identity Buckinghamshire International;Metal Rupee Usability;Hat Table;mesh Tactics;Mexico;services facilitate invoice;Outdoors;Cambridgeshire Internal compress;line Vermont channels;true;2023-07-25T02:08:55;dot-com;2023-07-25T07:24:21;Naira revolutionize
9;e18982d6-ee88-40d8-b70f-cedcb45b23e4;Mauritania;generating Data XSS;Seamless copying;National;Car Coordinator Computer;next-generation supply-chains Ford;copy SDD Awesome;../fake-data/blob/hipster.txt;Dinar deliverables;Handmade;evolve Facilitator;Dollar Awesome;Lake;Forward Front-line Tennessee;Soft payment Regional;enable;fuchsia;false;2023-07-25T17:17:27;Shoes Table;2023-07-24T22:08:59;evolve indigo fuchsia
10;15e4d641-5dfa-4e9b-882e-6f9bbb034671;metrics Tuna Dram;Senior;architectures Home;Kentucky Loan;Bike Global Organized;calculate;Expanded;../fake-data/blob/hipster.txt;International;national;Garden calculating IB;Plains SSL Small;Account incubate dot-com;blockchains Berkshire index;International;deploy olive;Internal;true;2023-07-25T18:25:24;Dakota blue even-keeled;2023-07-24T23:38:58;multi-byte Borders Interactions
