id;absa_tran_ref;dt_d_transaction_id;amol_d_transaction_id;transaction_reference_number;token;currency_unique_id;currency_code;currency_name;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;free_field_6;timestamp;record_status;created_at;created_by;updated_at;updated_by
1;c681f9ea-cb1c-4c1f-9cca-dfa7f10a77cd;ROI SDD Account;Meadow Officer;modular Hong Orchestrator;Quality matrix;Beauty engage Shoes;MGA;Codes specifically reserved for testing purposes;../fake-data/blob/hipster.txt;navigating neural;Account Avon Mouse;Forward turquoise Computers;National;Soft deposit line;2023-07-25T20:37:26;INACTIVE;2023-07-25T19:59:08;Future;2023-07-25T10:16:53;Clothing Borders
2;f7cd4f30-d14f-46d0-9dae-2c17d2f5f260;online optimize;Sausages Compatible Fresh;override;Cross-platform HDD;Legacy Berkshire application;CLP;Afghani;../fake-data/blob/hipster.txt;Arkansas mission-critical;deposit Consultant Course;Licensed red;Creative Group navigating;circuit Gorgeous;2023-07-25T03:07:53;INITIATED;2023-07-25T01:16:28;Frozen Buckinghamshire;2023-07-25T19:52:26;invoice
3;f8e3892e-3fb0-4030-97f0-049fb9cf0089;JBOD violet Tasty;National;Fish blue;cross-platform Licensed neutral;parsing;USD;Kip;../fake-data/blob/hipster.txt;haptic;AI;Granite;Optimization Mexico;back-end Cross-group Electronics;2023-07-25T11:47:02;PENDING;2023-07-25T14:55:16;Account Mouse Bike;2023-07-25T17:41:20;transition Card alarm
4;d1eee62d-1cf1-4521-be4c-228dfb396212;frame Inverse Metrics;generation interface;Customizable Principe Dinar;transmit target;Kansas Analyst;CLP;Dong;../fake-data/blob/hipster.txt;Up-sized;Licensed;neural Bacon;Integration exuding;silver protocol;2023-07-24T22:34:03;INACTIVE;2023-07-25T14:51:29;Buckinghamshire blue Michigan;2023-07-25T03:16:17;system Bedfordshire Steel
5;280825ae-513e-46d1-98ff-c91b11be9c95;Palladium Books;Concrete auxiliary;dynamic intermediate;Compatible implement;Coves Vermont;SGD;Comoro Franc;../fake-data/blob/hipster.txt;invoice bus actuating;Intelligent Metrics Customer-focused;magnetic Angola exploit;application Steel;Cambridgeshire;2023-07-25T15:39:59;APPROVED;2023-07-25T19:21:57;analyzer Iceland;2023-07-25T02:08:13;Home Pants
6;5868eedb-eb7b-4b41-8189-a48cd611f50f;olive;bleeding-edge;Pound;Soft;infrastructures Legacy Baby;BYR;Kip;../fake-data/blob/hipster.txt;Tools synthesizing XSS;morph Village;bandwidth;Illinois;Bacon Utah Awesome;2023-07-25T20:13:08;PENDING;2023-07-25T08:48:14;capacitor;2023-07-25T19:39:14;Steel Jewelery algorithm
7;b268b4c9-66bb-4269-bede-ab63cf031d06;haptic Future compressing;calculate protocol;deposit;PNG hacking;bluetooth;UZS;Gourde;../fake-data/blob/hipster.txt;Automotive;navigate context-sensitive;users;deposit transmit connect;Berkshire Crest Islands;2023-07-25T08:48:11;INITIATED;2023-07-24T23:39:56;wireless;2023-07-25T10:52:16;Digitized end-to-end
8;4de31ed7-91e9-41f6-b9d2-aefc6e96f58e;communities efficient Borders;Florida Greens;Nicaragua;1080p SQL synergistic;Unbranded withdrawal withdrawal;BOB;Nuevo Sol;../fake-data/blob/hipster.txt;Agent International;Wooden azure;generating;Bacon Orchestrator Shoes;Incredible;2023-07-24T23:22:11;APPROVED;2023-07-25T04:32:54;Electronics;2023-07-25T18:08:33;Refined
9;ca7c0813-11f4-46bf-8870-313cc6254b68;Bolivia;Kina generating Dollar;Buckinghamshire copy Director;Mandatory array;Tools wireless;SAR;Lilangeni;../fake-data/blob/hipster.txt;Frozen;Designer Cambridgeshire Neck;mindshare;National;Rhode exploit Direct;2023-07-25T00:50:32;APPROVED;2023-07-25T10:09:09;mint;2023-07-25T18:16:24;North
10;9f9ea662-8657-404a-98d6-8c94472eface;cross-platform Implementation;parsing Forward enable;Quality;Account;Nebraska Chief Borders;XBA;Turkish Lira;../fake-data/blob/hipster.txt;Bulgarian Specialist strategic;Montserrat Down-sized;panel Car;iterate Oman;Computers;2023-07-25T02:59:21;APPROVED;2023-07-25T01:30:11;Global Consultant Chief;2023-07-25T11:57:30;Handcrafted
