id;absa_tran_ref;customer_id;customer_account_number;dt_d_transaction_id;block_id;block_code;block_date;block_type;block_status;block_reason;block_reason_code_1;block_reason_code_2;block_reason_1;block_reason_code_3;block_reason_code_4;start_date;end_date;is_temp;block_free_text;block_free_text_1;block_free_text_2;block_free_text_3;block_free_text_4;block_free_text_5;block_free_text_6;block_reason_code_5;block_reason_code_6;block_reason_code_7;block_reason_code_8;block_reason_code_9;block_reason_code_10;block_reason_code_11;block_reason_code_12;block_reason_code_13;block_reason_code_14;block_reason_code_15;block_reason_code_16;created_at;created_by;updated_at;updated_by;delflg;status
1;4f25448c-ce55-4f5c-bd6b-e423faa843bf;Bedfordshire;Brooks Clothing bifurcated;indexing;Ball Mobility Borders;Shoes sensor deposit;2023-07-25T20:28:59;Granite Account;indexing Steel;application sensor sticky;transmitting;Ridges;Producer;heuristic Fresh;Plastic deposit;2023-07-25T15:00:24;2023-07-25T10:46:00;true;Berkshire;Locks;Tools;Estonia;Islands Configuration;quantifying;models;Market;Chips Forward;world-class;Future;Mill Granite;Cambridgeshire invoice open-source;invoice Handcrafted;calculate;turn-key Refined;Developer;Computers;Fantastic;2023-07-25T18:52:34;Generic payment Coordinator;2023-07-25T21:04:47;Michigan;false;APPROVED
2;80eae42f-1b9d-4c51-8298-6145e504dc23;Associate Associate;Romania Refined generating;Regional;Implementation Orchestrator;Creative system-worthy Sao;2023-07-25T02:40:14;mindshare;Swaziland;Handmade green Licensed;Cliffs;invoice HDD;THX;bricks-and-clicks;Borders olive;2023-07-25T14:40:44;2023-07-25T06:30:48;false;deposit holistic;quantifying;bandwidth Licensed Locks;embrace Sao;Account and Books;bifurcated program;program;programming Ergonomic;Burkina;Program back-end;auxiliary Avon orchestrate;fuchsia generating ivory;back-end relationships Fantastic;pixel productize;e-commerce Lakes;Utah;Granite;Markets envisioneer Home;Zimbabwe Paradigm;2023-07-25T10:21:24;Integration Music;2023-07-25T13:09:34;digital Junctions;false;PENDING
3;1a3d0562-4ae7-47df-89a4-22e1ffd3eda2;generating Forge Director;Barbados Fantastic;algorithm Officer;back-end maroon;Platinum connect Loan;2023-07-25T15:44:52;Awesome Concrete USB;blue withdrawal;Account Drives Sausages;redefine Unions;array;Wooden;firewall;Table Decentralized deposit;2023-07-25T06:05:55;2023-07-25T19:07:06;false;Automotive index;Island Handcrafted;Movies Berkshire Intelligent;orchestrate portal;Guyana turquoise;Optimized Berkshire;payment;XSS Markets District;Hryvnia extend;AGP Keyboard Ethiopian;copy;generating calculating;Multi-layered;Granite;Steel indexing Harbors;invoice convergence Granite;teal B2C;quantify Pennsylvania maroon;Bermuda;2023-07-25T11:01:48;calculate Refined;2023-07-24T22:55:40;portals bypassing Unbranded;true;INACTIVE
4;5aa79e65-8c4e-4e96-a60f-850e2e4d4c07;deliverables Brazilian;Supervisor demand-driven;Utah;monitor;Bike;2023-07-25T10:00:15;relationships asynchronous;Graphic Dirham Fresh;convergence Frozen;ivory repurpose Incredible;Tugrik;Polarised evolve Mobility;Ball;web-readiness Customer;2023-07-24T22:32:24;2023-07-25T03:43:07;true;Tala;recontextualize;invoice;Cross-group;attitude-oriented;Supervisor;Barbuda multi-byte;Path connect Lead;Peso;Pine customized Concrete;Dynamic card;THX;Specialist grid-enabled JSON;platforms Generic;Gorgeous Usability;Grocery ADP Uganda;front-end Steel copying;neural redundant;Soap attitude-oriented;2023-07-25T05:04:13;Faroe Handmade;2023-07-25T17:15:25;Tools;false;PENDING
5;d55952f3-c4fb-48bb-b34d-4e84b5a593e7;paradigms Awesome gold;navigate Mali Wyoming;Soft withdrawal protocol;Kansas;Buckinghamshire payment;2023-07-25T16:48:45;bus Maryland quantify;Universal;invoice Concrete Fresh;matrix;functionalities interface Gorgeous;Organic indexing Forward;Executive;Shoes;2023-07-25T08:29:50;2023-07-25T03:00:59;false;Agent multi-byte optimal;Cambridgeshire wireless compelling;programming FTP transitional;XML holistic;deposit systemic clear-thinking;Grocery payment Tools;generation;Practical Response;real-time;Account radical Liaison;Toys Refined;COM clicks-and-mortar;Malawi Fantastic;clear-thinking back-end Account;Dynamic;Account evolve array;Corporate Director;China Rufiyaa;Awesome Fresh index;2023-07-25T13:17:27;Frozen synthesizing copying;2023-07-25T14:40:22;Universal;true;INITIATED
6;2f2786da-b5ac-4b41-8eaa-ced4f2777cdc;strategize invoice;XML;Awesome client-driven Cross-platform;invoice Handcrafted;Handcrafted Skyway;2023-07-25T15:03:00;Berkshire;Ports;infrastructure digital RAM;circuit customer;auxiliary Technician;online;silver;Markets;2023-07-25T19:18:23;2023-07-25T21:45:42;true;Director Account capacitor;back tan;bypassing TCP;Dynamic access THX;Ramp optimal;hierarchy Shirt Vista;HDD Zambia Account;Car;reciprocal Squares;B2C New;Mauritania;revolutionize technologies Account;Loan;asymmetric Burundi;program;Agent Saint Bedfordshire;Buckinghamshire Shoes;Loan virtual aggregate;national overriding;2023-07-25T04:47:57;Vista Awesome;2023-07-24T23:50:25;Table;true;ACTIVE
7;5e141f51-e980-4f88-bcea-d059a65a162d;deposit International Tools;Tuna;Chief;parallelism lavender City;Usability payment redundant;2023-07-25T16:03:51;Division Devolved Orchard;partnerships purple;edge even-keeled;Gorgeous Representative;Bacon mission-critical;robust;Principal;instruction facilitate;2023-07-25T12:34:06;2023-07-25T04:56:58;false;Chair hacking Clothing;Refined Health;withdrawal lime Dollar;connecting Forward Account;customer Division;Cotton paradigms;bypass Metal;calculating Personal;District;Car;turquoise Gibraltar Chicken;tan Armenian;Cambridgeshire Sports;plug-and-play;Equatorial;web-enabled Hat;Florida Shirt Architect;Steel feed;Cotton Island Multi-lateral;2023-07-25T14:32:27;Outdoors port;2023-07-25T16:18:37;Web;true;INACTIVE
8;02e07247-2b58-42d5-a3c0-af606993e111;override;Multi-layered viral;maroon Ball Specialist;indigo;Table Dakota;2023-07-25T17:51:04;Regional Re-engineered;Nebraska Rubber Avenue;Accounts Missouri Checking;seamless exploit benchmark;Metal;Avon;invoice;white;2023-07-24T22:36:30;2023-07-25T21:09:56;true;Incredible;Synergistic;transmitting;orange communities;Pine District;Borders Engineer;Interactions cyan Generic;Generic Integration extensible;Salad Table Car;feed payment;synthesize Handmade Maine;Producer;Missouri empower;violet Alabama Antillian;Books Computer;Identity Ergonomic XML;Gabon;indigo Rupee;Soft El CSS;2023-07-25T11:58:21;paradigms Grenadines;2023-07-25T02:41:14;Avon plum;true;PENDING
9;07a6c5c7-c91f-47c6-ab25-cf657c693393;turquoise Fresh;payment;Ergonomic Internal Legacy;Specialist;circuit;2023-07-25T19:19:52;Metal;Gorgeous Movies Dynamic;Credit Nevada interfaces;hacking Supervisor Zloty;incremental Wooden green;Games;e-commerce Configurable;Points;2023-07-25T02:25:32;2023-07-25T11:18:32;true;Guam workforce;Bedfordshire;web deposit Baby;orange Gorgeous;bypassing payment;Strategist Security;repurpose EXE;UIC-Franc B2B Fresh;COM superstructure;client-server Account Soft;invoice Sausages adapter;cutting-edge;monetize;Cloned transmitting compress;Graphical Costa navigate;auxiliary Group Tasty;Won sexy New;up indexing;Bedfordshire Team-oriented;2023-07-25T20:07:36;deposit Leone Island;2023-07-25T16:19:12;24/7 Pre-emptive Creek;true;ACTIVE
10;a063a8e6-f09a-43ab-9cd7-b3e0fce11267;Buckinghamshire Cheese;productivity;Chicken;Rhode TCP metrics;fuchsia;2023-07-25T02:14:52;Kenya Jewelery;Singapore;Hat Account;Wooden;e-business indexing;bluetooth;Designer Account;blue Loan grey;2023-07-25T16:45:03;2023-07-25T00:30:48;true;Dollar;Product grey;Macao Sleek Corners;Pants array;Mississippi Dynamic Cuban;Zimbabwe aggregate quantify;repurpose;Jordanian Throughway teal;Automotive Cambridgeshire Lead;hack Missouri Books;Borders neutral;Chair;Eritrea Metrics Mexico;Alabama withdrawal front-end;Up-sized open-source Tools;Berkshire invoice;intangible Ergonomic;orange;Jewelery silver;2023-07-25T19:39:01;Florida transmit Ergonomic;2023-07-25T17:13:21;lavender Soft firewall;false;INACTIVE
