id;absa_tran_ref;record_id;address_id;bank_id;branch_id;branch_name;branch_swift_code;branch_phone_number;branch_email;branch_free_field_1;branch_free_field_3;branch_free_field_4;branch_free_field_5;branch_free_field_6;branch_free_field_7;branch_free_field_8;branch_free_field_9;branch_free_field_10;branch_free_field_11;branch_free_field_12;branch_free_field_13;branch_free_field_14;branch_free_field_15;branch_free_field_16;branch_free_field_17;branch_free_field_18;branch_free_field_19;branch_free_field_20;branch_free_field_21;branch_free_field_22;branch_free_field_23;branch_free_field_24;created_at;created_by;updated_at;updated_by;timestamp;status
1;85c5a792-8599-4b72-b4af-c5ef0406055a;Chips;compressing Research;Dynamic;system maximized Consultant;software Djibouti olive;Diverse envisioneer technologies;olive Sausages Synchronised;Bike;Account;complexity Maine;Missouri;Chief Research;Product Argentina utilisation;blockchains User;e-commerce intermediate Island;Automotive Account Ameliorated;input Account e-business;invoice Krona Summit;SCSI orchestration;Cambridgeshire utilize;functionalities Vietnam driver;Fresh;Salad redundant;invoice Account;Sleek Group;neural Djibouti;program optical;iterate pixel withdrawal;Clothing Research;extend;Rubber and Regional;2023-07-24T23:08:53;Global 1080p withdrawal;2023-07-24T22:02:44;circuit Architect;2023-07-25T06:30:01;APPROVED
2;b5742c5e-e335-45b6-aef3-aab503ed6651;navigate Soft;User-friendly withdrawal;intranet Creative encryption;Front-line;Russian;monitor red;Games Mouse Salad;Spring heuristic Guernsey;Borders transmitting bus;Korea Borders Liechtenstein;Wooden;Awesome;connecting;Intuitive overriding;Money whiteboard Operative;virtual compressing array;Kansas portals;Vision-oriented;array;parse Somoni methodologies;firewall Computer;transmit;Idaho;Peru compressing;optimize hacking empowering;Representative SSL Fresh;New parsing;XML Configuration;calculate world-class Station;ADP Executive;Rustic;2023-07-25T02:27:19;Gibraltar;2023-07-25T18:08:06;Florida;2023-07-25T05:49:00;INITIATED
3;4cb48f83-9670-43ea-b7cd-c687b38be7f4;CSS up;Cambridgeshire;bypassing;overriding Advanced;disintermediate;ivory invoice Pound;Armenia firmware;schemas;AGP;indexing;exploit;Angola;Communications approach Cotton;Steel initiative;olive Dong website;payment;Chief;Dollar Account;COM navigate;Beauty;Granite parsing;AGP neural-net wireless;paradigm CSS;morph invoice;Wooden Upgradable;Wooden Martin;Group utilize Texas;Investor Buckinghamshire;Garden Sleek;JBOD Computers;Intelligent;2023-07-25T08:12:45;open-source Borders;2023-07-25T17:50:13;Paradigm e-services productize;2023-07-25T09:40:55;INACTIVE
4;7d1b3c2c-a584-4d80-840c-80673817c450;Moroccan generating client-server;didactic Account solid;Cotton;hour;deposit holistic;reciprocal Angola;synthesizing Nuevo;users;collaborative applications;connecting maroon Belarus;up;Shoes;User-friendly;Persevering Account;Korean Solomon;Neck transmitter;Belarussian;generating;FTP monitoring Delaware;Facilitator;deposit;product Helena;Computers;invoice digital grow;Taiwan green;platforms;optical purple;Table multimedia up;Sleek Frozen Phased;mindshare back;Account;2023-07-25T15:55:23;maroon hacking Mauritius;2023-07-25T04:20:07;pink;2023-07-25T14:26:32;APPROVED
5;2dc72f79-1cc4-4db9-99d7-c4265830054c;override superstructure;Concrete Ways;Planner;UIC-Franc JBOD deposit;Borders Keyboard;incubate Angola;bandwidth;Card;Sausages Avon Dinar;Agent enhance interactive;B2C PNG Fresh;invoice open-source Salad;system;indexing Bike;parse Plastic auxiliary;Alaska;mobile e-services;override;B2B auxiliary intermediate;payment;engage indexing;programming leverage;Throughway Shirt;virtual;Technician card;Frozen Beauty;withdrawal monetize;ivory calculating card;payment;parallelism deposit;Parks Handcrafted;2023-07-25T13:17:40;auxiliary Dynamic Borders;2023-07-25T08:51:52;IB haptic Generic;2023-07-24T22:55:00;ACTIVE
6;aea307dc-1e10-4b2e-9029-683700004128;Practical;withdrawal secondary Ohio;Utah;silver Bedfordshire;Jewelery;generation generate;systems Incredible Steel;Handcrafted Shoes Innovative;intranet JBOD;orchid Street;(E.M.U.-6) Fresh Aruban;Buckinghamshire program transform;application CSS Computer;Awesome;B2B Legacy;New;open-source Consultant Generic;Rubber Shirt Handcrafted;matrix input;matrix;Small interactive;Ergonomic tertiary Armenia;invoice supply-chains state;SDD Engineer Island;systems Macao Brand;payment;Brand Account array;payment payment Rubber;USB;info-mediaries engineer;driver system;2023-07-25T15:43:45;bypass Intranet turquoise;2023-07-25T05:31:37;Place hacking;2023-07-25T08:26:30;APPROVED
7;376ba761-2dac-4041-ad7b-855dd01de14e;Iceland Cambridgeshire;Maldives Colon;system Facilitator;cross-platform Ngultrum Accounts;Future;Mexico;pixel XSS Bedfordshire;up Mexico Soap;Producer compress;integrate directional Universal;Clothing FTP integrate;Afghani;Road Central quantifying;lavender;Germany program leading;Handcrafted even-keeled;Dynamic Global Table;Music;Producer;web-enabled cultivate;ivory;Small Iowa;Franc;Checking programming hack;orchid;Loan deploy Fresh;Human parsing Usability;Concrete Realigned;HDD;Investment Illinois;array deposit;2023-07-25T08:59:16;dynamic firewall index;2023-07-25T04:39:53;Investor PNG;2023-07-25T07:40:56;ACTIVE
8;ba24a6b8-e925-4ceb-982a-97446685a7e3;District networks;Village;Bedfordshire Clothing Handcrafted;engineer;Optimization;Innovative Principal redundant;Nebraska;Shoes experiences back-end;deposit Tennessee Pennsylvania;programming;Research;blue Slovenia;Creative;Books Bacon;Avon of;alliance;compressing rich;Ariary;Ringgit Palladium monitor;whiteboard;Savings Handcrafted SAS;programming Soft collaboration;Frozen Dollar TCP;Bedfordshire;Macedonia;neural;grey blue granular;programming;Books paradigms;circuit invoice bus;Reduced;2023-07-25T14:08:18;redundant Rubber;2023-07-25T00:24:43;explicit transmit;2023-07-25T01:11:46;PENDING
9;43eadf17-6f37-46e7-abac-0f97942ac706;Profit-focused Tonga;leading-edge Rubber methodical;scalable;backing;XML microchip;copy methodical;Granite online generating;Light target;payment Profit-focused Pants;24/7;Baby bandwidth XSS;Mouse bottom-line connecting;Cyprus Alaska Plastic;orchid Principal;mint Operations;Kentucky Incredible Multi-tiered;Metal;invoice;connect;deposit magenta maroon;web-enabled;SMTP;magenta;Rupee parse hour;Books;bypass;USB red Computers;Metal;Faroe Handmade Table;haptic input directional;transparent architectures;2023-07-25T19:48:24;International revolutionary;2023-07-25T19:58:46;violet 1080p;2023-07-25T04:01:12;ACTIVE
10;babc8d4c-883a-429f-85ab-94ae18bbf935;Chips models;connecting;Chief;purple Pass online;virtual International;Borders Gorgeous Hat;real-time;schemas Shirt;program back-end Dollar);plug-and-play green;Mexico Hat;Account Adaptive;Hryvnia;Metal;overriding generate Managed;program 1080p Tactics;supply-chains Tactics Security;global Implemented;Bahrain;Strategist transitional;Market;USB Accountability;Nevada Buckinghamshire;redundant;Practical;compress HDD;disintermediate Computer Integration;Borders;Locks Card Direct;Credit;interface;2023-07-25T09:02:29;Monetary Leu Soft;2023-07-25T08:05:05;Angola;2023-07-25T00:10:19;APPROVED
